232,"('doesnt', 'look', 'like')",536
233,"('well', 'let', 'say')",500
234,"('dont', 'know', 'what')",676
235,"('un', 'secur', 'council')",844
236,"('im', 'say', 'im')",394
237,"('say', 'im', 'say')",387
238,"('make', 'sure', 'peopl')",408
239,"('fox', 'news', 'correspond')",2133
240,"('white', 'hous', 'say')",1291
241,"('senat', 'lindsey', 'graham')",443
242,"('think', 'go', 'see')",370
243,"('presid', 'bush', 'said')",527
244,"('im', 'go', 'give')",966
245,"('still', 'dont', 'know')",426
246,"('realli', 'dont', 'know')",614
247,"('think', 'dont', 'think')",966
248,"('dont', 'think', 'that')",1970
249,"('first', 'top', 'stori')",376
250,"('join', 'us', 'live')",4184
251,"('thank', 'us', 'thank')",791
252,"('well', 'take', 'look')",509
253,"('say', 'dont', 'think')",560
254,"('radio', 'talk', 'show')",1162
255,"('talk', 'show', 'host')",1435
256,"('that', 'im', 'say')",554
257,"('dont', 'think', 'peopl')",681
258,"('dont', 'think', 'hes')",1101
259,"('said', 'im', 'go')",546
260,"('dont', 'want', 'get')",894
261,"('well', 'see', 'happen')",417
262,"('dont', 'know', 'happen')",568
263,"('im', 'go', 'say')",890
264,"('ive', 'ever', 'seen')",499
265,"('think', 'that', 'true')",427
266,"('dont', 'think', 'anyon')",394
267,"('thank', 'much', 'next')",457
268,"('dont', 'know', 'go')",853
269,"('dont', 'want', 'talk')",478
270,"('theyr', 'go', 'say')",527
271,"('your', 'go', 'get')",1625
272,"('governor', 'rick', 'perri')",591
273,"('iran', 'nuclear', 'program')",487
274,"('dont', 'think', 'anybodi')",851
275,"('law', 'enforc', 'offic')",393
276,"('dont', 'know', 'mani')",414
277,"('hes', 'go', 'get')",909
278,"('thank', 'much', 'alway')",405
279,"('presid', 'bush', 'say')",431
280,"('town', 'hall', 'meet')",928
281,"('play', 'race', 'card')",542
282,"('new', 'york', 'state')",726
283,"('world', 'trade', 'center')",741
284,"('think', 'that', 'good')",484
285,"('correspond', 'molli', 'henneberg')",408
286,"('ive', 'never', 'seen')",653
287,"('your', 'go', 'find')",378
288,"('didnt', 'even', 'know')",384
289,"('unit', 'state', 'govern')",608
290,"('know', 'youv', 'got')",499
291,"('coupl', 'day', 'ago')",372
292,"('correspond', 'jame', 'rosen')",1127
293,"('said', 'last', 'night')",376
294,"('last', 'coupl', 'day')",531
295,"('correspond', 'wendel', 'goler')",702
296,"('talk', 'littl', 'bit')",711
297,"('weve', 'got', 'get')",592
298,"('peopl', 'dont', 'know')",856
299,"('say', 'your', 'go')",408
300,"('think', 'that', 'right')",526
301,"('mile', 'per', 'hour')",404
302,"('dont', 'want', 'see')",602
303,"('long', 'period', 'time')",391
304,"('stem', 'cell', 'research')",511
305,"('theyr', 'go', 'go')",771
306,"('nation', 'secur', 'issu')",459
307,"('peopl', 'dont', 'want')",780
308,"('right', 'im', 'go')",594
309,"('vice', 'presidenti', 'candid')",488
310,"('border', 'patrol', 'agent')",706
311,"('york', 'time', 'bestsel')",366
312,"('fred', 'barn', 'execut')",931
313,"('barn', 'execut', 'editor')",948
314,"('execut', 'editor', 'week')",949
315,"('that', 'good', 'point')",680
316,"('your', 'absolut', 'right')",919
317,"('know', 'dont', 'want')",610
318,"('go', 'dont', 'know')",394
319,"('syndic', 'columnist', 'charl')",1509
320,"('columnist', 'charl', 'krauthamm')",1521
321,"('right', 'dont', 'think')",625
322,"('come', 'unit', 'state')",448
323,"('dont', 'even', 'know')",1182
324,"('british', 'prime', 'minist')",393
325,"('week', 'standard', 'mort')",532
326,"('execut', 'editor', 'roll')",741
327,"('editor', 'roll', 'call')",782
328,"('come', 'right', 'back')",1806
329,"('tell', 'us', 'think')",398
330,"('think', 'well', 'think')",501
331,"('littl', 'bit', 'differ')",490
332,"('go', 'take', 'break')",397
333,"('im', 'brit', 'hume')",693
334,"('us', 'suprem', 'court')",465
335,"('state', 'suprem', 'court')",489
336,"('new', 'york', 'post')",669
